序号,笔画,汉字,拼音,部件
2544,六画,匈,xiōng,勹，凶
2543,六画,旭,xù,九，日
2542,六画,肋,"lèi,lē",月，力
2541,六画,伊,yī,亻，尹
2540,六画,伦,lún,亻，仑
2539,六画,仲,zhòng,亻，中
2538,六画,臼,jiù,臼
2537,六画,迄,qì,乞，辶
2536,六画,廷,tíng,廴，壬
2535,六画,屹,yì,山，乞
2534,六画,吆,yāo,口，幺
2533,六画,吕,lǚ,口，口
2532,六画,吁,"xū,yù",口，于
2531,六画,夷,yí,大，弓
2530,六画,吏,lì,吏
2529,六画,芍,sháo,艹，勺
2528,六画,芋,yù,艹，于
2527,六画,邢,xíng,开，阝
2526,六画,迂,yū,于，辶
2525,六画,邦,bāng,丰，阝
2524,五画,玄,xuán,玄
2523,五画,冯,"féng,píng",冫，马
2522,五画,尔,ěr,尔
2521,五画,乍,zhà,乍
2520,五画,矢,shǐ,矢
2519,五画,囚,qiú,囗，人
2518,五画,凹,"āo,wā",凹
2517,五画,皿,mǐn,皿
2516,五画,叽,jī,口，几
2515,五画,叭,bā,口，八
2514,五画,卢,lú,卢
2513,五画,凸,tū,凸
2512,五画,夯,"hāng,bèn",大，力
2511,五画,艾,ài,艹，乂
2510,四画,邓,dèng,又，阝
2509,四画,冗,rǒng,冖，几
2508,四画,讥,jī,讠，几
2507,四画,仑,lún,仑
2506,四画,夭,yāo,夭
2505,四画,戈,gē,戈
2504,四画,歹,dǎi,歹
2503,四画,丐,gài,丐
2502,二画,刁,diāo,刁
2501,二画,匕,bǐ,匕
2500,二十三画,罐,guàn,缶，雚
2499,二十二画,囊,"náng,nāng",囊
2498,二十一画,露,"lòu,lù",雨，路
2497,二十一画,霸,bà,雨，革，月
2496,二十一画,蠢,chǔn,春，虫，虫
2495,二十画,灌,guàn,氵，雚
2494,二十画,魔,mó,麻，鬼
2493,二十画,籍,jí,⺮，耒，昔
2492,二十画,嚷,"rǎng,rāng",口，襄
2491,二十画,嚼,"jiáo,jué,jiào",口，爵
2490,二十画,躁,zào,足，喿
2489,二十画,耀,yào,光，翟
2488,二十画,壤,rǎng,土，襄
2487,十九画,疆,"jiāng,qiáng",弓，土，畺
2486,十九画,爆,bào,火，暴
2485,十九画,瓣,bàn,辡，瓜
2484,十九画,颤,"chàn,zhàn",亶，页
2483,十九画,蹲,dūn,足，尊
2482,十九画,攀,pān,林，爻，大，手
2481,十九画,警,jǐng,敬，言
2480,十八画,鹰,yīng,@，鸟
2479,十八画,翻,fān,番，羽
2478,十八画,镰,lián,钅，廉
2477,十八画,蹦,bèng,足，崩
2476,十八画,覆,fù,覀，彳，复
2475,十八画,鞭,biān,革，便
2474,十七画,骤,zhòu,马，聚
2473,十七画,翼,yì,羽，田，共
2472,十七画,臂,"bì,bei",辟，月
2471,十七画,燥,zào,火，喿
2470,十七画,糠,kāng,米，康
2469,十七画,糟,zāo,米，曹
2468,十七画,赢,yíng,亡，口，月，贝，凡
2467,十七画,辫,biàn,辡，纟
2466,十七画,繁,"fán,pó",敏，糸
2465,十七画,穗,suì,禾，惠
2464,十七画,螺,luó,虫，累
2463,十七画,蹈,dǎo,足，舀
2462,十七画,瞧,qiáo,目，焦
2461,十七画,霞,xiá,雨，叚
2460,十七画,霜,shuāng,雨，相
2459,十七画,藏,"cáng,zàng",艹，臧
2458,十七画,鞠,jū,革，匊
2457,十七画,擦,cā,扌，察
2456,十七画,戴,dài,𢦏，田，共
2455,十六画,缴,"jiǎo,zhuó",纟，敫
2454,十六画,避,bì,辟，辶
2453,十六画,壁,bì,辟，土
2452,十六画,懒,lǎn,忄，赖
2451,十六画,激,jī,氵，敫
2450,十六画,澡,zǎo,氵，喿
2449,十六画,燃,rán,火，然
2448,十六画,糕,gāo,米，羔
2447,十六画,糖,táng,米，唐
2446,十六画,辩,biàn,辡，讠
2445,十六画,辨,biàn,辡，刀
2444,十六画,凝,níng,冫，疑
2443,十六画,磨,"mó,mò",麻，石
2442,十六画,雕,diāo,周，隹
2441,十六画,膨,péng,月，彭
2440,十六画,衡,héng,行，角，大
2439,十六画,邀,yāo,敫，辶
2438,十六画,篮,lán,⺮，监
2437,十六画,赞,zàn,兟，贝
2436,十六画,镜,jìng,钅，竟
2435,十六画,默,mò,黑，犬
2434,十六画,赠,zèng,贝，曾
2433,十六画,器,qì,口，口，犬，口，口
2432,十六画,蹄,tí,足，帝
2431,十六画,嘴,zuǐ,口，觜
2430,十六画,餐,cān,歺，又，食
2429,十六画,醒,xǐng,酉，星
2428,十六画,融,róng,鬲，虫
2427,十六画,整,zhěng,敕，正
2426,十六画,橘,jú,木，矞
2425,十六画,颠,diān,真，页
2424,十六画,薄,"báo,bó,bò",艹，溥
2423,十六画,薪,xīn,艹，亲，斤
2422,十六画,薯,shǔ,艹，罒，者
2421,十六画,燕,"yàn,yān",燕
2420,十六画,操,cāo,扌，喿
2419,十五画,劈,"pī,pǐ",辟，刀
2418,十五画,慰,wèi,尉，心
2417,十五画,额,é,客，页
2416,十五画,懂,dǒng,忄，艹，重
2415,十五画,潮,cháo,氵，朝
2414,十五画,潜,qián,氵，夫，夫，日
2413,十五画,遵,zūn,尊，辶
2412,十五画,糊,"hū,hú,hù",米，胡
2411,十五画,毅,yì,豙，殳
2410,十五画,颜,yán,彦，页
2409,十五画,摩,"mó,mā",麻，手
2408,十五画,熟,shú,孰，灬
2407,十五画,膛,táng,月，堂
2406,十五画,膝,xī,月，桼
2405,十五画,艘,sōu,舟，叟
2404,十五画,德,dé,彳，𢛳
2403,十五画,僻,pì,彳，辟
2402,十五画,躺,tǎng,身，尚
2401,十五画,僵,jiāng,亻，畺
2400,十五画,篇,piān,⺮，扁
2399,十五画,箭,jiàn,⺮，前
2398,十五画,箱,xiāng,⺮，相
2397,十五画,稼,jià,禾，家
2396,十五画,稿,gǎo,禾，高
2395,十五画,黎,lí,利，黍
2394,十五画,稻,dào,禾，舀
2393,十五画,靠,kào,告，非
2392,十五画,镇,zhèn,钅，真
2391,十五画,墨,mò,黑，土
2390,十五画,嘱,zhǔ,口，属
2389,十五画,蝴,hú,虫，胡
2388,十五画,蝶,dié,虫，枼
2387,十五画,踪,zōng,足，宗
2386,十五画,踩,cǎi,足，采
2385,十五画,踏,tà,足，沓
2384,十五画,踢,tī,足，易
2383,十五画,影,yǐng,景，彡
2382,十五画,瞎,xiā,目，害
2381,十五画,暴,"bào,pù",暴
2380,十五画,题,tí,是，页
2379,十五画,瞒,"mán,mén",目，艹，两
2378,十五画,霉,méi,雨，每
2377,十五画,震,zhèn,雨，辰
2376,十五画,醉,zuì,酉，卒
2375,十五画,醋,cù,酉，昔
2374,十五画,飘,piāo,票，风
2373,十五画,橡,xiàng,木，象
2372,十五画,樱,yīng,木，婴
2371,十五画,槽,cáo,木，曹
2370,十五画,横,"héng,hèng",木，黄
2369,十五画,蔬,shū,艹，疏
2368,十五画,蕉,jiāo,艹，焦
2367,十五画,鞋,xié,革，圭
2366,十五画,聪,cōng,耳，总
2365,十五画,增,zēng,土，曾
2364,十五画,撤,chè,扌，育，攵
2363,十五画,撞,zhuàng,扌，童
2362,十五画,播,bō,扌，番
2361,十五画,撑,chēng,扌，掌
2360,十五画,趟,"tàng,tāng",走，尚
2359,十五画,趣,"qù,cù",走，取
2358,十五画,撒,"sā,sǎ",扌，散
2357,十五画,撕,sī,扌，斯
2356,十五画,慧,huì,丰，丰，彐，心
2355,十四画,缩,"suō,sù",纟，宿
2354,十四画,骡,luó,马，累
2353,十四画,凳,dèng,登，几
2352,十四画,熊,xióng,能，灬
2351,十四画,翠,cuì,羽，卒
2350,十四画,嫩,nèn,女，敕
2349,十四画,谱,pǔ,讠，普
2348,十四画,蜜,mì,宓，虫
2347,十四画,察,chá,宀，祭
2346,十四画,赛,sài,宀，@，贝
2345,十四画,寨,zhài,宀，@，木
2344,十四画,慢,màn,忄，曼
2343,十四画,漏,lòu,氵，屚
2342,十四画,演,yǎn,氵，寅
2341,十四画,滴,dī,氵，啇
2340,十四画,漫,màn,氵，曼
2339,十四画,漂,"piāo,piǎo,piào",氵，票
2338,十四画,漆,qī,氵，桼
2337,十四画,熔,róng,火，容
2336,十四画,熄,xī,火，息
2335,十四画,歉,qiàn,兼，欠
2334,十四画,精,jīng,米，青
2333,十四画,旗,qí,㫃，其
2332,十四画,端,duān,立，耑
2331,十四画,竭,jié,立，曷
2330,十四画,辣,là,辛，束
2329,十四画,瘦,shòu,疒，叟
2328,十四画,腐,fǔ,府，肉
2327,十四画,遮,zhē,庶，辶
2326,十四画,膏,"gāo,gào",高，月
2325,十四画,豪,háo,高，豕
2324,十四画,敲,qiāo,高，攴
2323,十四画,裹,guǒ,衣，果
2322,十四画,馒,mán,饣，曼
2321,十四画,疑,"yí,nǐ",匕、矢、@，疋
2320,十四画,鲜,"xiān,xiǎn",鱼，羊
2319,十四画,膀,bǎng,月，旁
2318,十四画,膊,bó,月，尃
2317,十四画,膜,mó,月，莫
2316,十四画,貌,mào,豸，皃
2315,十四画,魄,pò,白，鬼
2314,十四画,鼻,bí,自，畀
2313,十四画,僚,liáo,亻，尞
2312,十四画,管,guǎn,⺮，官
2311,十四画,箩,luó,⺮，罗
2310,十四画,算,suàn,⺮，目，廾
2309,十四画,稳,wěn,禾，急
2308,十四画,舞,wǔ,舞
2307,十四画,锻,duàn,钅，段
2306,十四画,锹,qiāo,钅，秋
2305,十四画,赚,zhuàn,贝，兼
2304,十四画,蜘,zhī,虫，知
2303,十四画,蝇,yíng,虫，黾
2302,十四画,蜡,là,虫，昔
2301,十四画,蜻,qīng,虫，青
2300,十四画,嗽,sòu,口，欶
2299,十四画,颗,kē,果，页
2298,十四画,裳,"cháng,shang",尚，衣
2297,十四画,弊,bì,敝，廾
2296,十四画,需,xū,雨，而
2295,十四画,愿,yuàn,原，心
2294,十四画,磁,cí,石，兹
2293,十四画,酸,suān,酉，夋
2292,十四画,酿,niàng,酉，良
2291,十四画,酷,kù,酉，告
2290,十四画,遭,zāo,曹，辶
2289,十四画,歌,gē,哥，欠
2288,十四画,榨,zhà,木，窄
2287,十四画,榜,"bǎng,bàng",木，旁
2286,十四画,榴,liú,木，留
2285,十四画,模,"mó,mú",木，莫
2284,十四画,蔑,miè,艹，罒，戍
2283,十四画,暮,mù,莫，日
2282,十四画,慕,mù,莫，@
2281,十四画,蔽,bì,艹，敝
2280,十四画,聚,jù,取，@
2279,十四画,摔,shuāi,扌，率
2278,十四画,摘,zhāi,扌，啇
2277,十四画,境,jìng,土，竟
2276,十四画,誓,shì,折，言
2275,十四画,截,jié,？
2274,十四画,摧,cuī,扌，崔
2273,十四画,嘉,jiā,？
2272,十四画,撇,"piē,piě",扌，敝
2271,十四画,墙,qiáng,土，啬
2270,十四画,璃,lí,王，离
2269,十四画,碧,bì,王，白，石
2268,十四画,静,jìng,青，争
2267,十三画,缠,chán,纟，廛
2266,十三画,缝,"féng,fèng",纟，逢
2265,十三画,叠,dié,又，又，又，冖，且
2264,十三画,嫁,jià,女，家
2263,十三画,嫌,xián,女，兼
2262,十三画,障,zhàng,阝，章
2261,十三画,辟,"bì,pì",？
2260,十三画,殿,diàn,尸，共，殳
2259,十三画,群,qún,君，羊
2258,十三画,福,fú,礻，畐
2257,十三画,谨,jǐn,
2256,十三画,塞,"sāi,sài,sè",
2255,十三画,誉,yù,
2254,十三画,慎,shèn,
2253,十三画,滩,tān,
2252,十三画,粱,liáng,
2251,十三画,滨,bīn,
2250,十三画,滚,gǔn,
2249,十三画,溜,"liū,liù",
2248,十三画,溪,xī,
2247,十三画,滔,tāo,
2246,十三画,滥,làn,
2245,十三画,滤,lǜ,
2244,十三画,源,yuán,
2243,十三画,漠,mò,
2242,十三画,满,mǎn,
2241,十三画,煌,huáng,
2240,十三画,煤,méi,
2239,十三画,慈,cí,
2238,十三画,塑,sù,
2237,十三画,煎,jiān,
2236,十三画,数,"shù,shǔ,shuò",
2235,十三画,粮,liáng,
2234,十三画,意,yì,
2233,十三画,韵,yùn,
2232,十三画,新,xīn,
2231,十三画,廉,lián,
2230,十三画,痰,tán,
2229,十三画,酱,jiàng,
2228,十三画,解,"jiě,jiè,xiè",
2227,十三画,触,chù,
2226,十三画,腿,tuǐ,
2225,十三画,腾,téng,
2224,十三画,腹,fù,
2223,十三画,腥,xīng,
2222,十三画,腰,yāo,
2221,十三画,遥,yáo,
2220,十三画,愈,yù,
2219,十三画,微,wēi,
2218,十三画,躲,duǒ,
2217,十三画,像,xiàng,
2216,十三画,傻,shǎ,
2215,十三画,催,cuī,
2214,十三画,鼠,shǔ,
2213,十三画,舅,jiù,
2212,十三画,毁,huǐ,
2211,十三画,简,jiǎn,
2210,十三画,签,qiān,
2209,十三画,筹,chóu,
2208,十三画,愁,chóu,
2207,十三画,稠,chóu,
2206,十三画,辞,cí,
2205,十三画,矮,ǎi,
2204,十三画,锯,jù,
2203,十三画,键,jiàn,
2202,十三画,锦,jǐn,
2201,十三画,锤,chuí,
2200,十三画,锣,luó,
2199,十三画,锡,xī,
2198,十三画,错,cuò,
2197,十三画,罩,zhào,
2196,十三画,罪,zuì,
2195,十三画,置,zhì,
2194,十三画,嗓,sǎng,
2193,十三画,蜂,fēng,
2192,十三画,蛾,"é,yǐ",
2191,十三画,遣,qiǎn,
2190,十三画,跟,gēn,
2189,十三画,路,lù,
2188,十三画,跪,guì,
2187,十三画,跳,"tiào,táo",
2186,十三画,跨,kuà,
2185,十三画,照,zhào,
2184,十三画,暗,àn,
2183,十三画,歇,xiē,
2182,十三画,盟,méng,
2181,十三画,暖,nuǎn,
2180,十三画,愚,yú,
2179,十三画,鄙,bǐ,
2178,十三画,睬,cǎi,
2177,十三画,睡,shuì,
2176,十三画,睛,jīng,
2175,十三画,鉴,jiàn,
2174,十三画,龄,líng,
2173,十三画,督,dū,
2172,十三画,输,shū,
2171,十三画,雹,báo,
2170,十三画,雾,wù,
2169,十三画,零,líng,
2168,十三画,雷,léi,
2167,十三画,碌,"lù,liù",
2166,十三画,碗,wǎn,
2165,十三画,碰,pèng,
2164,十三画,碎,suì,
2163,十三画,碑,bēi,
2162,十三画,碍,ài,
2161,十三画,感,gǎn,
2160,十三画,酬,chóu,
2159,十三画,赖,lài,
2158,十三画,概,gài,
2157,十三画,楼,lóu,
2156,十三画,榆,yú,
2155,十三画,槐,huái,
2154,十三画,想,xiǎng,
2153,十三画,楚,chǔ,
2152,十三画,禁,"jīn,jìn",
2151,十三画,献,xiàn,
2150,十三画,蒸,zhēng,艹，
2149,十三画,蒙,"mēng,méng,měng",艹，
2148,十三画,蓄,xù,艹，
2147,十三画,蓬,péng,艹，
2146,十三画,幕,mù,
2145,十三画,墓,mù,
2144,十三画,蓝,lán,艹，
2143,十三画,鹊,què,
2142,十三画,勤,qín,
2141,十三画,蒜,suàn,艹，
2140,十三画,摊,tān,扌，
2139,十三画,塘,táng,
2138,十三画,搞,gǎo,扌，
2137,十三画,摇,yáo,扌，
2136,十三画,搬,bān,扌，
2135,十三画,携,xié,扌，
2134,十三画,摆,bǎi,扌，
2133,十三画,鼓,gǔ,
2132,十三画,塌,tā,
2131,十三画,搏,bó,扌，尃
2130,十三画,填,"tián,zhèn",
2129,十三画,摸,mō,扌，
2128,十三画,摄,"shè,niè",扌，
2127,十三画,肆,sì,
2126,十三画,魂,hún,
2125,十三画,瑞,ruì,
2124,十二画,缘,yuán,
2123,十二画,骗,piàn,
2122,十二画,编,biān,纟，
2121,十二画,缓,huǎn,纟，
2120,十二画,缎,duàn,纟，
2119,十二画,登,dēng,
2118,十二画,嫂,sǎo,
2117,十二画,絮,xù,
2116,十二画,隙,xì,
2115,十二画,隔,gé,
2114,十二画,疏,shū,
2113,十二画,粥,"zhōu,yù",
2112,十二画,强,"qiáng,qiǎng,jiàng",
2111,十二画,屡,lǚ,
2110,十二画,属,"shǔ,zhǔ",
2109,十二画,谦,qiān,
2108,十二画,谣,yáo,
2107,十二画,谢,xiè,
2106,十二画,裙,qún,
2105,十二画,裤,kù,
2104,十二画,裕,yù,
2103,十二画,遍,biàn,
2102,十二画,窗,chuāng,
2101,十二画,窝,wō,
2100,十二画,窜,cuàn,
2099,十二画,富,fù,
2098,十二画,寒,hán,
2097,十二画,割,gē,
2096,十二画,慨,kǎi,
2095,十二画,愉,"yú,tōu",
2094,十二画,愧,kuì,
2093,十二画,惰,duò,
2092,十二画,慌,huāng,
2091,十二画,愤,fèn,
2090,十二画,溉,gài,
2089,十二画,滋,zī,
2088,十二画,游,yóu,
2087,十二画,渡,dù,
2086,十二画,湾,wān,
2085,十二画,滑,huá,
2084,十二画,渴,kě,
2083,十二画,温,wēn,
2082,十二画,湿,shī,
2081,十二画,渣,zhā,
2080,十二画,湖,hú,
2079,十二画,港,"gǎng,jiǎng",
2078,十二画,焰,yàn,
2077,十二画,曾,"zēng,céng",
2076,十二画,道,dào,
2075,十二画,尊,zūn,
2074,十二画,粪,fèn,
2073,十二画,普,pǔ,
2072,十二画,羡,xiàn,
2071,十二画,善,shàn,
2070,十二画,阔,kuò,
2069,十二画,童,tóng,
2068,十二画,痛,tòng,
2067,十二画,就,jiù,
2066,十二画,蛮,mán,
2065,十二画,装,zhuāng,
2064,十二画,馋,chán,
2063,十二画,然,rán,
2062,十二画,猴,hóu,
2061,十二画,猾,huá,
2060,十二画,鲁,lǔ,
2059,十二画,腔,qiāng,
2058,十二画,脾,pí,
2057,十二画,腊,"là,xī",
2056,十二画,禽,qín,
2055,十二画,释,shì,
2054,十二画,番,"fān,pān",
2053,十二画,舒,shū,
2052,十二画,艇,tǐng,
2051,十二画,循,xún,
2050,十二画,御,yù,
2049,十二画,惩,chéng,
2048,十二画,街,jiē,
2047,十二画,奥,"ào,yù",
2046,十二画,储,chǔ,
2045,十二画,傍,bàng,
2044,十二画,焦,jiāo,
2043,十二画,集,jí,
2042,十二画,堡,"bǎo,bǔ,pù",
2041,十二画,牌,pái,
2040,十二画,傅,fù,
2039,十二画,傲,ào,
2038,十二画,筝,zhēng,
2037,十二画,筋,jīn,
2036,十二画,答,"dá,dā",
2035,十二画,筒,tǒng,
2034,十二画,筛,shāi,
2033,十二画,策,cè,
2032,十二画,筑,"zhù,zhú",
2031,十二画,等,děng,
2030,十二画,筐,kuāng,
2029,十二画,税,shuì,
2028,十二画,稀,xī,
2027,十二画,程,chéng,
2026,十二画,稍,"shāo,shào",
2025,十二画,剩,shèng,
2024,十二画,鹅,é,
2023,十二画,毯,tǎn,
2022,十二画,智,zhì,
2021,十二画,短,duǎn,
2020,十二画,锐,ruì,
2019,十二画,锋,fēng,
2018,十二画,锈,xiù,
2017,十二画,锅,guō,
2016,十二画,锄,chú,
2015,十二画,锁,suǒ,
2014,十二画,销,xiāo,
2013,十二画,链,liàn,
2012,十二画,铺,"pū,pù",
2011,十二画,铸,zhù,
2010,十二画,黑,hēi,
2009,十二画,赔,péi,
2008,十二画,赌,dǔ,
2007,十二画,帽,mào,
2006,十二画,幅,fú,
2005,十二画,喉,hóu,
2004,十二画,喘,chuǎn,
2003,十二画,喂,wèi,
2002,十二画,喝,"hē,hè,yè",
2001,十二画,蜓,tíng,
2000,十二画,蛛,zhū,
1999,十二画,蛙,wā,
1998,十二画,遗,yí,
1997,十二画,跑,"pǎo,páo",
1996,十二画,跌,diē,
1995,十二画,践,jiàn,
1994,十二画,景,"jǐng,yǐng",
1993,十二画,喊,hǎn,
1992,十二画,遇,yù,
1991,十二画,喇,lǎ,
1990,十二画,晶,jīng,
1989,十二画,喷,"pēn,pèn",
1988,十二画,量,"liáng,liàng",
1987,十二画,最,zuì,
1986,十二画,暑,shǔ,
1985,十二画,晴,qíng,
1984,十二画,掌,zhǎng,
1983,十二画,赏,shǎng,
1982,十二画,敞,chǎng,
1981,十二画,辉,huī,
1980,十二画,紫,zǐ,
1979,十二画,悲,bēi,
1978,十二画,辈,bèi,
1977,十二画,雅,yǎ,
1976,十二画,暂,zàn,
1975,十二画,雄,xióng,
1974,十二画,裂,"liè,liě",
1973,十二画,殖,"zhí,shi",
1972,十二画,雁,yàn,
1971,十二画,确,què,
1970,十二画,硬,yìng,
1969,十二画,厦,"shà,xià",
1968,十二画,厨,chú,
1967,十二画,逼,bī,
1966,十二画,惑,huò,
1965,十二画,惠,huì,
1964,十二画,棕,zōng,
1963,十二画,棚,péng,
1962,十二画,棉,mián,
1961,十二画,棍,"gùn,hùn",
1960,十二画,棵,kē,
1959,十二画,椒,jiāo,
1958,十二画,椅,"yǐ,yī",
1957,十二画,森,sēn,
1956,十二画,植,zhí,
1955,十二画,棋,qí,
1954,十二画,棒,bàng,
1953,十二画,葵,kuí,艹，
1952,十二画,辜,gū,
1951,十二画,朝,"zhāo,cháo",
1950,十二画,落,"là,luò,lào",艹，
1949,十二画,葱,cōng,艹，
1948,十二画,敬,jìng,
1947,十二画,葡,pú,艹，
1946,十二画,董,dǒng,艹，
1945,十二画,葛,gé,艹，
1944,十二画,葬,zàng,艹，
1943,十二画,惹,rě,艹，
1942,十二画,散,"sàn,sǎn",
1941,十二画,联,lián,
1940,十二画,欺,qī,
1939,十二画,期,"qī,jī",
1938,十二画,斯,sī,
1937,十二画,揉,róu,扌，
1936,十二画,握,wò,扌，
1935,十二画,搅,jiǎo,扌，
1934,十二画,搂,"lǒu,lōu",扌，
1933,十二画,搁,"gē,gé",扌，
1932,十二画,裁,cái,
1931,十二画,援,yuán,扌，
1930,十二画,煮,zhǔ,
1929,十二画,搜,sōu,扌，
1928,十二画,揪,jiū,扌，
1927,十二画,插,chā,扌，
1926,十二画,喜,xǐ,
1925,十二画,揭,"jiē,qì",
1924,十二画,博,bó,
1923,十二画,堤,dī,
1922,十二画,提,"tí,dī,dǐ",扌，
1921,十二画,超,chāo,
1920,十二画,趋,"qū,cù",
1919,十二画,趁,chèn,
1918,十二画,越,yuè,
1917,十二画,塔,tǎ,
1916,十二画,搭,dā,扌，
1915,十二画,堪,kān,
1914,十二画,款,kuǎn,
1913,十二画,替,tì,
1912,十二画,斑,bān,
1911,十二画,琴,qín,
1910,十一画,绿,"lǜ,lù",纟，
1909,十一画,绸,chóu,纟，
1908,十一画,绵,mián,纟，
1907,十一画,维,wéi,纟，
1906,十一画,绳,shéng,纟，
1905,十一画,骑,qí,
1904,十一画,续,xù,纟，
1903,十一画,绪,xù,纟，
1902,十一画,绩,jì,纟，
1901,十一画,颈,"jǐng,gěng",
1900,十一画,婶,shěn,
1899,十一画,婚,hūn,
1898,十一画,隐,"yǐn,yìn",
1897,十一画,隆,lóng,
1896,十一画,蛋,dàn,
1895,十一画,随,suí,
1894,十一画,弹,"dàn,tán",
1893,十一画,屠,tú,
1892,十一画,敢,gǎn,
1891,十一画,逮,dài,
1890,十一画,谜,mí,
1889,十一画,祸,huò,
1888,十一画,谎,huǎng,
1887,十一画,谋,móu,
1886,十一画,密,mì,
1885,十一画,窑,yáo,
1884,十一画,宿,"sù,xiǔ,xiù",
1883,十一画,寄,jì,
1882,十一画,寇,kòu,
1881,十一画,惯,guàn,
1880,十一画,惨,cǎn,
1879,十一画,惊,jīng,
1878,十一画,惕,tì,
1877,十一画,惧,jù,
1876,十一画,悼,dào,
1875,十一画,惭,cán,
1874,十一画,惜,xī,
1873,十一画,情,qíng,
1872,十一画,渗,shèn,
1871,十一画,梁,liáng,
1870,十一画,婆,pó,
1869,十一画,深,shēn,
1868,十一画,淡,dàn,
1867,十一画,液,yè,
1866,十一画,淘,táo,
1865,十一画,渔,yú,
1864,十一画,混,"hùn,hún",
1863,十一画,渐,"jiàn,jiān",
1862,十一画,渠,"qú,jù",
1861,十一画,淹,yān,
1860,十一画,淋,"lín,lìn",
1859,十一画,添,tiān,
1858,十一画,清,qīng,
1857,十一画,兽,shòu,
1856,十一画,剪,jiǎn,
1855,十一画,断,duàn,
1854,十一画,粒,lì,
1853,十一画,粗,cū,
1852,十一画,粘,zhān,
1851,十一画,盖,"gài,gě,hé",
1850,十一画,着,"zhuó,zháo,zhāo,zhe",
1849,十一画,率,"shuài,lǜ",
1848,十一画,望,wàng,
1847,十一画,旋,"xuán,xuàn",
1846,十一画,族,zú,
1845,十一画,商,shāng,
1844,十一画,竟,jìng,
1843,十一画,章,zhāng,
1842,十一画,盗,dào,
1841,十一画,鹿,lù,
1840,十一画,庸,yōng,
1839,十一画,康,kāng,
1838,十一画,廊,láng,
1837,十一画,痕,hén,
1836,十一画,痒,yǎng,
1835,十一画,麻,má,
1834,十一画,毫,háo,
1833,十一画,减,jiǎn,
1832,十一画,凑,còu,
1831,十一画,馆,guǎn,
1830,十一画,馅,xiàn,
1829,十一画,猛,měng,
1828,十一画,猫,"māo,máo",
1827,十一画,猎,liè,
1826,十一画,猪,zhū,
1825,十一画,猜,cāi,
1824,十一画,够,gòu,
1823,十一画,象,xiàng,
1822,十一画,脱,tuō,
1821,十一画,脸,liǎn,
1820,十一画,脖,bó,
1819,十一画,脚,jiǎo,
1818,十一画,领,lǐng,
1817,十一画,彩,cǎi,
1816,十一画,欲,yù,
1815,十一画,悉,xī,
1814,十一画,鸽,gē,
1813,十一画,盒,hé,
1812,十一画,斜,xié,
1811,十一画,船,chuán,
1810,十一画,盘,pán,
1809,十一画,衔,xián,
1808,十一画,得,"dé,děi,de",
1807,十一画,假,"jiǎ,jià",
1806,十一画,偏,piān,
1805,十一画,停,tíng,
1804,十一画,售,shòu,
1803,十一画,您,nín,
1802,十一画,偷,tōu,
1801,十一画,偶,ǒu,
1800,十一画,偿,cháng,
1799,十一画,悠,yōu,
1798,十一画,袋,dài,
1797,十一画,做,zuò,
1796,十一画,敏,mǐn,
1795,十一画,第,dì,
1794,十一画,符,fú,
1793,十一画,笛,dí,
1792,十一画,笼,"lóng,lǒng",
1791,十一画,笨,bèn,
1790,十一画,移,yí,
1789,十一画,犁,lí,
1788,十一画,梨,lí,
1787,十一画,甜,tián,
1786,十一画,银,yín,
1785,十一画,铲,chǎn,
1784,十一画,铜,tóng,
1783,十一画,圈,"quān,juàn,juān",
1782,十一画,崇,chóng,
1781,十一画,崭,"zhǎn,chán",
1780,十一画,崖,yá,
1779,十一画,唯,wéi,
1778,十一画,患,huàn,
1777,十一画,唱,chàng,
1776,十一画,累,"léi,lěi,lèi",
1775,十一画,蛇,"shé,yí",
1774,十一画,略,lüè,
1773,十一画,跃,yuè,
1772,十一画,距,jù,
1771,十一画,啄,zhuó,
1770,十一画,晚,wǎn,
1769,十一画,啦,"lā,la",
1768,十一画,野,yě,
1767,十一画,悬,xuán,
1766,十一画,眼,yǎn,
1765,十一画,眯,"mī,mí",
1764,十一画,睁,zhēng,
1763,十一画,晨,chén,
1762,十一画,匙,"chí,shi",
1761,十一画,常,cháng,
1760,十一画,堂,táng,
1759,十一画,雀,"què,qiāo,qiǎo",
1758,十一画,虚,xū,
1757,十一画,辆,liàng,
1756,十一画,辅,fǔ,
1755,十一画,雪,xuě,
1754,十一画,盛,"shèng,chéng",
1753,十一画,袭,xí,
1752,十一画,聋,lóng,
1751,十一画,爽,shuǎng,
1750,十一画,戚,qī,
1749,十一画,票,"piào,piāo",
1748,十一画,副,"fù,pì",
1747,十一画,救,jiù,
1746,十一画,桶,tǒng,
1745,十一画,梯,tī,
1744,十一画,梳,shū,
1743,十一画,检,jiǎn,
1742,十一画,梅,méi,
1741,十一画,梢,"shāo,sào",
1740,十一画,梦,mèng,
1739,十一画,械,xiè,
1738,十一画,营,yíng,
1737,十一画,菠,bō,艹，
1736,十一画,萍,píng,艹，
1735,十一画,菊,jú,艹，
1734,十一画,萄,táo,艹，
1733,十一画,菜,cài,艹，
1732,十一画,菌,"jūn,jùn",艹，
1731,十一画,萝,luó,艹，
1730,十一画,萌,méng,艹，
1729,十一画,黄,huáng,
1728,十一画,勒,"lè,lēi",
1727,十一画,著,zhù,艹，
1726,十一画,基,jī,
